mass1_source,mass2_source,ra,dec,redshift,snid,mej,costheta,mass1,mass2,chirp_mass,first_detection,distance
2.0099,1.2301,53.5790,-2.4385,0.1428,9827580,0.0300,-0.2701,2.2969,1.4057,1.5550,1449048843,698.4008
1.9233,1.2330,65.6257,-43.8989,0.0599,34749864,0.0250,-0.9964,2.0386,1.3069,1.4140,1415297493,277.3800
1.9414,1.1082,330.4378,-1.6416,0.0712,35415070,0.0400,-0.8842,2.0796,1.1871,1.3572,1414036593,332.1053
2.0294,1.2488,107.9588,-27.6434,0.0357,36349247,0.0300,0.0065,2.1019,1.2934,1.4270,1450613830.5,162.5694
2.0321,1.2604,79.3329,2.2740,0.0714,59238408,0.0300,0.1356,2.1772,1.3504,1.4843,1478642530.5,333.4044
1.6494,1.0269,134.3038,-18.0179,0.0500,68232688,0.0250,0.6754,1.7318,1.0783,1.1830,1421272593,229.8682
1.8862,1.1426,336.9826,-20.5728,0.0261,29620400,0.0300,-0.6858,1.9355,1.1725,1.3033,1466034543,118.0915
1.9850,1.1386,205.5908,-40.8922,0.0800,22754923,0.0400,0.1323,2.1438,1.2296,1.4027,1459794168,375.5375
1.5836,1.0320,348.3115,-6.1111,0.1031,19283747,0.0200,0.9958,1.7469,1.1383,1.2220,1417119318,491.4636
1.9910,1.2747,242.7582,-16.6091,0.1021,30347429,0.0250,-0.7578,2.1943,1.4048,1.5209,1470739968,486.4305
1.6564,1.0287,308.8155,-12.3707,0.1044,64584244,0.0250,0.3590,1.8293,1.1361,1.2480,1432950768,497.9879
1.9752,1.2600,164.3721,-48.3864,0.1331,34745824,0.0250,-0.0519,2.2382,1.4277,1.5484,1427465043,647.1326
1.8652,1.0460,302.3300,-48.8596,0.2017,6992516,0.0400,0.1498,2.2414,1.2570,1.4493,1406143480.5,1021.9375
1.8672,1.1911,325.3356,-51.1413,0.0720,48634815,0.0250,0.8816,2.0017,1.2769,1.3848,1470271518,336.1531
1.6397,1.0880,167.2843,-49.9365,0.0995,66767469,0.0200,0.0934,1.8029,1.1963,1.2732,1394379918,473.4434
2.0099,1.2301,354.3246,-14.5109,0.0819,71541417,0.0300,0.0531,2.1745,1.3308,1.4721,1467442593,384.9154
1.8640,1.1315,204.1825,-1.4084,0.1467,70088950,0.0300,-0.0187,2.1373,1.2974,1.4407,1396004305.5,719.0419
1.9233,1.2330,136.3715,-62.2765,0.1090,38054561,0.0250,0.3755,2.1329,1.3674,1.4794,1399831893,521.5123
1.9414,1.1082,68.1072,-35.0291,0.0996,81117748,0.0400,0.3937,2.1348,1.2186,1.3932,1392057580.5,473.7030
2.0294,1.2488,54.8290,-33.5721,0.1353,60032418,0.0300,-0.0924,2.3040,1.4178,1.5643,1451850093,658.8011
1.6494,1.0269,315.3196,-58.3433,0.0990,71747782,0.0250,-0.3210,1.8126,1.1286,1.2382,1409190768,470.6884
1.8862,1.1426,190.7858,-43.4124,0.1926,12601162,0.0300,-0.0362,2.2494,1.3627,1.5147,1432660518,970.4855
1.6489,1.2743,141.8234,-4.9774,0.0674,53549044,0.0100,-0.0181,1.7600,1.3602,1.3447,1422212868,313.5715
2.0002,1.2272,0.2029,-8.9031,0.0784,38226740,0.0300,0.9083,2.1570,1.3234,1.4622,1467739593,367.5942
1.9850,1.1386,75.9730,-20.1911,0.1455,40030148,0.0400,-0.3830,2.2739,1.3043,1.4878,1448446068,712.9975
1.5836,1.0320,94.1628,-24.6136,0.0489,56802986,0.0200,-0.3448,1.6611,1.0824,1.1620,1455057355.5,224.6283
1.6951,1.0156,186.5545,-23.8319,0.0921,11574703,0.0300,-0.4047,1.8512,1.1091,1.2394,1425103555.5,435.9737
1.7998,1.0073,222.3283,-9.5132,0.2304,74427564,0.0400,0.7103,2.2146,1.2394,1.4303,1397128855.5,1186.5155
1.6397,1.0880,221.0715,-18.1746,0.1566,76724412,0.0200,0.6561,1.8965,1.2585,1.3393,1394607055.5,772.6639
1.9414,1.1082,188.7602,-29.5399,0.0547,14602001,0.0400,-0.4915,2.0476,1.1688,1.3364,1400730993,252.2347
2.0294,1.2488,14.8825,-13.7765,0.0765,86380821,0.0300,-0.6089,2.1846,1.3444,1.4832,1446804468,358.2394
2.0321,1.2604,49.4627,-23.6163,0.0784,85157564,0.0300,0.1067,2.1914,1.3592,1.4940,1442788893,367.7719
1.8862,1.1426,44.1416,-57.8664,0.1383,9291148,0.0300,-0.8887,2.1470,1.3006,1.4457,1442682918,674.2653
1.8729,1.2705,144.9707,-11.8301,0.0472,44658520,0.0200,-0.8220,1.9613,1.3304,1.4010,1431569380.5,216.4681
1.9850,1.1386,287.4728,-29.0115,0.0791,84610316,0.0400,-0.6848,2.1419,1.2286,1.4015,1463720643,370.9469
1.6951,1.0156,84.3975,0.2635,0.0618,7776460,0.0300,0.0046,1.7998,1.0783,1.2049,1479915243,286.2778
1.7998,1.0073,341.4983,-44.4849,0.1876,82619321,0.0400,-0.9323,2.1375,1.1963,1.3805,1411642705.5,942.5868
1.9427,1.1951,121.8847,-6.6339,0.0425,7575008,0.0300,0.5005,2.0253,1.2459,1.3748,1424420793,194.3032
1.9752,1.2600,2.5244,-0.5469,0.1384,31974118,0.0250,-0.6654,2.2486,1.4343,1.5556,1445453118,674.9325
1.7219,1.0307,103.8927,-40.4664,0.2020,80317318,0.0300,0.9438,2.0697,1.2389,1.3850,1423799118,1023.5819
1.8652,1.0460,267.0560,0.0294,0.1047,78447923,0.0400,0.8539,2.0605,1.1556,1.3323,1470446005.5,499.7761
1.8563,1.0511,315.7735,-36.0892,0.1705,24560405,0.0400,-0.6044,2.1727,1.2302,1.4120,1413359230.5,847.9782
2.0099,1.2301,179.2171,-1.5026,0.1411,39414573,0.0300,-0.0503,2.2936,1.4037,1.5527,1432330780.5,689.6198
1.8640,1.1315,260.0744,2.8558,0.0320,55935939,0.0300,0.0550,1.9236,1.1677,1.2967,1426202793,145.2084
1.9414,1.1082,0.1882,-62.0428,0.1127,69751164,0.0400,-0.6835,2.1602,1.2331,1.4099,1409829655.5,540.7274
2.0294,1.2488,22.3077,-26.7545,0.0450,30341065,0.0300,0.8340,2.1206,1.3050,1.4398,1448331655.5,206.0688
1.8381,1.0267,241.8817,-21.2546,0.0470,40700661,0.0400,-0.7267,1.9244,1.0749,1.2417,1457991918,215.3944
1.8862,1.1426,286.3236,-23.0324,0.0898,87068765,0.0300,0.0842,2.0555,1.2452,1.3841,1397986780.5,424.2636
2.0101,1.2973,13.0840,-5.7629,0.0466,3553114,0.0250,-0.6016,2.1038,1.3578,1.4644,1386855693,213.9383
1.8434,1.1139,287.1386,-35.4497,0.0305,88214137,0.0300,0.8869,1.8996,1.1478,1.2774,1466974480.5,138.0940
1.9850,1.1386,347.1593,-26.8313,0.0544,59645101,0.0400,0.7332,2.0930,1.2005,1.3695,1437195843,250.9880
1.8797,1.0620,43.0728,-39.0800,0.1294,15053514,0.0400,0.3348,2.1230,1.1994,1.3780,1480222705.5,627.7166
1.9276,1.0987,124.5668,-17.5121,0.0798,26031030,0.0400,-0.7490,2.0815,1.1864,1.3574,1417449393,374.6356
1.7998,1.0073,74.7816,-54.6388,0.0749,79335549,0.0400,0.2191,1.9347,1.0828,1.2496,1424052243,350.4345
1.9752,1.2600,346.3189,-10.0323,0.1603,49898191,0.0250,0.3837,2.2919,1.4620,1.5856,1409169168,792.5309
1.8652,1.0460,166.3865,-11.5625,0.1049,68991226,0.0400,-0.1373,2.0609,1.1558,1.3325,1457915980.5,500.8418
1.9233,1.2330,335.6239,-18.0171,0.0996,67921730,0.0250,0.6331,2.1148,1.3558,1.4669,1441468930.5,473.5776
1.7570,1.1034,305.9481,-12.2118,0.1037,30697318,0.0250,0.3669,1.9392,1.2177,1.3306,1463162080.5,494.5236
1.8353,1.1611,56.6948,-41.5773,0.0746,37507920,0.0250,0.3699,1.9723,1.2477,1.3586,1478712393,349.1192
2.0294,1.2488,355.4651,-40.4256,0.0567,47245287,0.0300,0.2857,2.1444,1.3196,1.4559,1436585643,261.9102
2.0096,1.3450,347.6476,-4.1771,0.0496,5886401,0.0200,-0.9181,2.1093,1.4118,1.4963,1409649430.5,228.1137
1.8381,1.0267,76.6188,-31.5193,0.1167,25139098,0.0400,-0.1993,2.0527,1.1466,1.3244,1479179830.5,561.6435
2.0176,1.1600,307.4021,-34.5749,0.1304,39846946,0.0400,0.1662,2.2807,1.3113,1.4941,1413792243,632.7817
